Country Name,Country Code,Year,Progression,SlumPopulation,Region
Albania,ALB,2010,99.19,15.4,Europe & Central Asia
Algeria,DZA,2010,98.57,30.8,Middle East & North Africa
Angola,AGO,2010,52.48,38.05,Sub-Saharan Africa
Argentina,ARG,2010,96.18,16.66,Latin America & Caribbean
Azerbaijan,AZE,2010,98.72,26.93,Europe & Central Asia
Bangladesh,BGD,2010,94.51,55.09,South Asia
Belize,BLZ,2010,97.49,15.75,Latin America & Caribbean
Benin,BEN,2010,78.35,69.9,Sub-Saharan Africa
Bermuda,BMU,2010,86.32,0.1,North America
Bhutan,BTN,2010,99.6,53.7,South Asia
Bolivia,BOL,2010,94.0,46.63,Latin America & Caribbean
Brunei Darussalam,BRN,2010,99.95,28.77,East Asia & Pacific
Bulgaria,BGR,2010,98.67,0.15,Europe & Central Asia
Burundi,BDI,2010,71.25,60.96,Sub-Saharan Africa
Cabo Verde,CPV,2010,97.8,58.95,Sub-Saharan Africa
Cambodia,KHM,2010,81.87,56.6,East Asia & Pacific
Cameroon,CMR,2010,60.81,49.02,Sub-Saharan Africa
Chad,TCD,2010,95.51,85.95,Sub-Saharan Africa
Colombia,COL,2010,98.6,14.45,Latin America & Caribbean
"Congo, Rep.",COG,2010,77.27,65.99,Sub-Saharan Africa
Costa Rica,CRI,2010,92.91,8.12,Latin America & Caribbean
Croatia,HRV,2010,99.49,0.35,Europe & Central Asia
Cuba,CUB,2010,98.63,5.3,Latin America & Caribbean
Cyprus,CYP,2010,99.43,0.25,Europe & Central Asia
Czechia,CZE,2010,99.34,0.05,Europe & Central Asia
Denmark,DNK,2010,99.87,0.0,Europe & Central Asia
Dominican Republic,DOM,2010,94.59,18.34,Latin America & Caribbean
El Salvador,SLV,2010,96.32,34.49,Latin America & Caribbean
Equatorial Guinea,GNQ,2010,97.24,60.6,Sub-Saharan Africa
Eritrea,ERI,2010,96.32,64.82,Sub-Saharan Africa
Estonia,EST,2010,99.48,0.1,Europe & Central Asia
Eswatini,SWZ,2010,96.18,33.08,Sub-Saharan Africa
Ethiopia,ETH,2010,89.49,76.7,Sub-Saharan Africa
Finland,FIN,2010,99.97,0.0,Europe & Central Asia
"Gambia, The",GMB,2010,86.42,47.91,Sub-Saharan Africa
Greece,GRC,2010,98.52,0.1,Europe & Central Asia
Guatemala,GTM,2010,89.82,44.31,Latin America & Caribbean
Hungary,HUN,2010,99.68,9.1,Europe & Central Asia
Iceland,ISL,2010,99.75,0.0,Europe & Central Asia
"Iran, Islamic Rep.",IRN,2010,97.33,53.7,Middle East & North Africa
Italy,ITA,2010,99.94,0.02,Europe & Central Asia
Kazakhstan,KAZ,2010,99.96,10.54,Europe & Central Asia
"Korea, Rep.",KOR,2010,99.98,9.3,East Asia & Pacific
Kyrgyz Republic,KGZ,2010,98.18,24.8,Europe & Central Asia
Lao PDR,LAO,2010,82.81,37.3,East Asia & Pacific
Latvia,LVA,2010,98.77,1.6,Europe & Central Asia
Lebanon,LBN,2010,95.16,42.19,Middle East & North Africa
Lesotho,LSO,2010,85.01,46.21,Sub-Saharan Africa
Lithuania,LTU,2010,98.8,2.0,Europe & Central Asia
Madagascar,MDG,2010,79.81,79.43,Sub-Saharan Africa
Malawi,MWI,2010,89.05,63.84,Sub-Saharan Africa
Mali,MLI,2010,92.89,62.9,Sub-Saharan Africa
Malta,MLT,2010,97.5,0.04,Middle East & North Africa
Mauritius,MUS,2010,85.84,64.82,Sub-Saharan Africa
Mexico,MEX,2010,96.35,23.59,Latin America & Caribbean
Moldova,MDA,2010,98.13,12.3,Europe & Central Asia
Morocco,MAR,2010,88.43,19.21,Middle East & North Africa
Mozambique,MOZ,2010,59.41,72.53,Sub-Saharan Africa
Niger,NER,2010,72.25,70.33,Sub-Saharan Africa
Norway,NOR,2010,99.8,0.0,Europe & Central Asia
Pakistan,PAK,2010,74.85,63.6,Middle East & North Africa
Panama,PAN,2010,98.89,27.12,Latin America & Caribbean
Paraguay,PRY,2010,92.98,27.04,Latin America & Caribbean
Peru,PER,2010,94.38,38.17,Latin America & Caribbean
Poland,POL,2010,99.18,0.55,Europe & Central Asia
Romania,ROU,2010,99.53,2.95,Europe & Central Asia
Samoa,WSM,2010,94.45,2.55,East Asia & Pacific
Sao Tome and Principe,STP,2010,97.22,58.46,Sub-Saharan Africa
Senegal,SEN,2010,94.66,49.38,Sub-Saharan Africa
Serbia,SRB,2010,99.95,0.5,Europe & Central Asia
Seychelles,SYC,2010,96.62,64.82,Sub-Saharan Africa
Slovak Republic,SVK,2010,99.29,0.05,Europe & Central Asia
Solomon Islands,SLB,2010,89.98,6.05,East Asia & Pacific
Sri Lanka,LKA,2010,98.74,53.7,South Asia
St. Lucia,LCA,2010,97.76,2.75,Latin America & Caribbean
Suriname,SUR,2010,69.96,11.62,Latin America & Caribbean
Sweden,SWE,2010,99.85,0.15,Europe & Central Asia
Switzerland,CHE,2010,99.89,0.0,Europe & Central Asia
Syrian Arab Republic,SYR,2010,98.51,27.0,Middle East & North Africa
Timor-Leste,TLS,2010,94.81,50.0,East Asia & Pacific
Togo,TGO,2010,91.14,53.06,Sub-Saharan Africa
Turkiye,TUR,2010,98.91,17.61,Europe & Central Asia
Uganda,UGA,2010,62.34,67.46,Sub-Saharan Africa
Ukraine,UKR,2010,99.87,2.5,Europe & Central Asia
United Arab Emirates,ARE,2010,95.77,0.65,Middle East & North Africa
Uzbekistan,UZB,2010,99.03,15.63,Europe & Central Asia
Viet Nam,VNM,2010,100.0,20.6,East Asia & Pacific
West Bank and Gaza,PSE,2010,97.25,25.26,Middle East & North Africa
Zambia,ZMB,2010,60.58,56.02,Sub-Saharan Africa
Albania,ALB,2012,99.75,12.9,Europe & Central Asia
Algeria,DZA,2012,98.52,28.89,Middle East & North Africa
Argentina,ARG,2012,96.84,15.94,Latin America & Caribbean
Azerbaijan,AZE,2012,99.09,26.93,Europe & Central Asia
Belize,BLZ,2012,95.26,15.74,Latin America & Caribbean
Benin,BEN,2012,88.7,69.51,Sub-Saharan Africa
Bhutan,BTN,2012,96.29,52.94,South Asia
Bolivia,BOL,2012,96.51,46.63,Latin America & Caribbean
Botswana,BWA,2012,97.47,45.96,Sub-Saharan Africa
British Virgin Islands,VGB,2012,93.68,1.64,Latin America & Caribbean
Brunei Darussalam,BRN,2012,99.74,27.04,East Asia & Pacific
Bulgaria,BGR,2012,99.3,0.15,Europe & Central Asia
Burkina Faso,BFA,2012,68.2,48.81,Sub-Saharan Africa
Burundi,BDI,2012,75.67,55.59,Sub-Saharan Africa
Cabo Verde,CPV,2012,96.05,56.46,Sub-Saharan Africa
Cambodia,KHM,2012,80.2,51.0,East Asia & Pacific
Cayman Islands,CYM,2012,96.55,4.15,Latin America & Caribbean
Chad,TCD,2012,95.01,84.82,Sub-Saharan Africa
Colombia,COL,2012,96.66,13.11,Latin America & Caribbean
"Congo, Dem. Rep.",COD,2012,72.3,75.14,Sub-Saharan Africa
Costa Rica,CRI,2012,84.38,7.21,Latin America & Caribbean
Cuba,CUB,2012,98.83,6.35,Latin America & Caribbean
Cyprus,CYP,2012,99.54,0.25,Europe & Central Asia
Czechia,CZE,2012,99.68,0.05,Europe & Central Asia
Denmark,DNK,2012,99.92,0.0,Europe & Central Asia
Dominican Republic,DOM,2012,94.92,15.98,Latin America & Caribbean
El Salvador,SLV,2012,93.73,28.48,Latin America & Caribbean
Eritrea,ERI,2012,97.82,62.17,Sub-Saharan Africa
Estonia,EST,2012,99.55,0.1,Europe & Central Asia
Eswatini,SWZ,2012,99.01,25.66,Sub-Saharan Africa
Finland,FIN,2012,99.93,0.0,Europe & Central Asia
"Gambia, The",GMB,2012,93.34,46.1,Sub-Saharan Africa
Georgia,GEO,2012,99.96,10.15,Europe & Central Asia
Germany,DEU,2012,99.34,0.0,Europe & Central Asia
Ghana,GHA,2012,88.37,40.21,Sub-Saharan Africa
Greece,GRC,2012,99.04,0.05,Europe & Central Asia
Guatemala,GTM,2012,92.46,42.08,Latin America & Caribbean
Guinea,GIN,2012,54.69,45.67,Sub-Saharan Africa
Honduras,HND,2012,58.85,33.88,Latin America & Caribbean
Hungary,HUN,2012,99.33,7.9,Europe & Central Asia
Indonesia,IDN,2012,91.65,25.2,East Asia & Pacific
Italy,ITA,2012,99.9,0.02,Europe & Central Asia
Kazakhstan,KAZ,2012,99.92,7.75,Europe & Central Asia
Kuwait,KWT,2012,98.33,0.0,Middle East & North Africa
Kyrgyz Republic,KGZ,2012,99.7,20.33,Europe & Central Asia
Lao PDR,LAO,2012,86.72,33.8,East Asia & Pacific
Latvia,LVA,2012,97.9,1.3,Europe & Central Asia
Lebanon,LBN,2012,98.33,17.09,Middle East & North Africa
Lesotho,LSO,2012,84.71,42.08,Sub-Saharan Africa
Lithuania,LTU,2012,99.3,1.55,Europe & Central Asia
Madagascar,MDG,2012,72.86,77.03,Sub-Saharan Africa
Maldives,MDV,2012,96.5,38.75,South Asia
Mali,MLI,2012,79.87,58.71,Sub-Saharan Africa
Malta,MLT,2012,98.96,0.04,Middle East & North Africa
Mauritius,MUS,2012,78.11,62.17,Sub-Saharan Africa
Mexico,MEX,2012,96.55,21.87,Latin America & Caribbean
Moldova,MDA,2012,97.84,9.4,Europe & Central Asia
Morocco,MAR,2012,90.37,16.43,Middle East & North Africa
Mozambique,MOZ,2012,60.52,69.01,Sub-Saharan Africa
Namibia,NAM,2012,95.97,41.66,Sub-Saharan Africa
Nepal,NPL,2012,86.22,48.96,South Asia
Niger,NER,2012,69.68,70.39,Sub-Saharan Africa
Norway,NOR,2012,99.25,0.0,Europe & Central Asia
Oman,OMN,2012,99.68,1.0,Middle East & North Africa
Pakistan,PAK,2012,77.05,62.07,Middle East & North Africa
Peru,PER,2012,99.15,46.08,Latin America & Caribbean
Poland,POL,2012,99.3,0.25,Europe & Central Asia
Qatar,QAT,2012,99.7,0.0,Middle East & North Africa
Russian Federation,RUS,2012,100.0,3.15,Europe & Central Asia
Rwanda,RWA,2012,74.93,50.53,Sub-Saharan Africa
Sao Tome and Principe,STP,2012,83.54,56.52,Sub-Saharan Africa
Senegal,SEN,2012,91.96,45.82,Sub-Saharan Africa
Serbia,SRB,2012,99.66,0.5,Europe & Central Asia
Seychelles,SYC,2012,94.96,62.17,Sub-Saharan Africa
Sierra Leone,SLE,2012,87.96,61.6,Sub-Saharan Africa
Slovak Republic,SVK,2012,99.25,0.05,Europe & Central Asia
Sri Lanka,LKA,2012,99.72,52.94,South Asia
St. Lucia,LCA,2012,94.01,2.2,Latin America & Caribbean
Sudan,SDN,2012,95.85,83.83,Sub-Saharan Africa
Suriname,SUR,2012,73.24,12.45,Latin America & Caribbean
Sweden,SWE,2012,99.93,0.15,Europe & Central Asia
Switzerland,CHE,2012,99.84,0.0,Europe & Central Asia
Syrian Arab Republic,SYR,2012,57.26,25.43,Middle East & North Africa
Tanzania,TZA,2012,56.31,55.78,Sub-Saharan Africa
Timor-Leste,TLS,2012,89.45,46.0,East Asia & Pacific
Togo,TGO,2012,84.29,49.81,Sub-Saharan Africa
Tunisia,TUN,2012,92.76,9.64,Middle East & North Africa
Turkiye,TUR,2012,90.81,16.22,Europe & Central Asia
Uganda,UGA,2012,64.42,64.77,Sub-Saharan Africa
Ukraine,UKR,2012,99.82,1.8,Europe & Central Asia
United Arab Emirates,ARE,2012,98.39,0.5,Middle East & North Africa
Uzbekistan,UZB,2012,99.29,12.84,Europe & Central Asia
Viet Nam,VNM,2012,93.35,15.65,East Asia & Pacific
West Bank and Gaza,PSE,2012,97.92,23.35,Middle East & North Africa
"Yemen, Rep.",YEM,2012,90.46,48.08,Middle East & North Africa
Zambia,ZMB,2012,63.92,54.47,Sub-Saharan Africa
Zimbabwe,ZWE,2012,77.9,23.95,Sub-Saharan Africa
Albania,ALB,2014,99.08,10.3,Europe & Central Asia
Algeria,DZA,2014,99.0,24.98,Middle East & North Africa
Argentina,ARG,2014,97.41,15.2,Latin America & Caribbean
Armenia,ARM,2014,99.9,9.37,Europe & Central Asia
Belize,BLZ,2014,96.36,15.74,Latin America & Caribbean
Benin,BEN,2014,87.57,69.11,Sub-Saharan Africa
Bermuda,BMU,2014,50.78,0.1,North America
Bolivia,BOL,2014,96.97,46.63,Latin America & Caribbean
Bosnia and Herzegovina,BIH,2014,99.49,4.0,Europe & Central Asia
British Virgin Islands,VGB,2014,99.13,1.64,Latin America & Caribbean
Brunei Darussalam,BRN,2014,99.38,25.3,East Asia & Pacific
Bulgaria,BGR,2014,99.25,0.2,Europe & Central Asia
Burkina Faso,BFA,2014,76.55,43.25,Sub-Saharan Africa
Burundi,BDI,2014,79.6,50.23,Sub-Saharan Africa
Cabo Verde,CPV,2014,98.2,53.94,Sub-Saharan Africa
Cambodia,KHM,2014,81.7,45.4,East Asia & Pacific
Cameroon,CMR,2014,67.9,42.48,Sub-Saharan Africa
Colombia,COL,2014,98.3,11.77,Latin America & Caribbean
Costa Rica,CRI,2014,83.64,6.29,Latin America & Caribbean
Cote d'Ivoire,CIV,2014,92.68,56.29,Sub-Saharan Africa
Cuba,CUB,2014,98.37,7.4,Latin America & Caribbean
Cyprus,CYP,2014,99.36,0.25,Europe & Central Asia
Czechia,CZE,2014,99.98,0.05,Europe & Central Asia
Denmark,DNK,2014,100.0,0.0,Europe & Central Asia
Djibouti,DJI,2014,80.24,59.53,Middle East & North Africa
Dominican Republic,DOM,2014,95.27,13.61,Latin America & Caribbean
El Salvador,SLV,2014,93.43,22.48,Latin America & Caribbean
Eritrea,ERI,2014,92.27,59.53,Sub-Saharan Africa
Estonia,EST,2014,99.33,0.1,Europe & Central Asia
Eswatini,SWZ,2014,99.35,18.23,Sub-Saharan Africa
Ethiopia,ETH,2014,91.44,70.5,Sub-Saharan Africa
Finland,FIN,2014,99.85,0.0,Europe & Central Asia
Georgia,GEO,2014,99.58,9.38,Europe & Central Asia
Germany,DEU,2014,99.63,0.0,Europe & Central Asia
Ghana,GHA,2014,98.24,36.85,Sub-Saharan Africa
Guatemala,GTM,2014,84.28,39.84,Latin America & Caribbean
Hungary,HUN,2014,99.64,7.2,Europe & Central Asia
Italy,ITA,2014,99.93,0.02,Europe & Central Asia
Kazakhstan,KAZ,2014,99.69,4.97,Europe & Central Asia
Kenya,KEN,2014,98.77,52.36,Sub-Saharan Africa
"Korea, Rep.",KOR,2014,99.64,4.7,East Asia & Pacific
Kyrgyz Republic,KGZ,2014,99.21,15.86,Europe & Central Asia
Lao PDR,LAO,2014,89.1,30.4,East Asia & Pacific
Latvia,LVA,2014,98.38,1.05,Europe & Central Asia
Lebanon,LBN,2014,89.36,4.5,Middle East & North Africa
Lesotho,LSO,2014,86.6,37.94,Sub-Saharan Africa
Liberia,LBR,2014,79.38,67.46,Sub-Saharan Africa
Lithuania,LTU,2014,99.52,1.1,Europe & Central Asia
Madagascar,MDG,2014,76.04,74.62,Sub-Saharan Africa
Mali,MLI,2014,77.94,54.51,Sub-Saharan Africa
Malta,MLT,2014,96.79,0.04,Middle East & North Africa
Mauritania,MRT,2014,59.21,61.06,Sub-Saharan Africa
Mauritius,MUS,2014,85.85,59.53,Sub-Saharan Africa
Mexico,MEX,2014,97.06,20.16,Latin America & Caribbean
Moldova,MDA,2014,97.94,6.5,Europe & Central Asia
Morocco,MAR,2014,87.4,13.64,Middle East & North Africa
Mozambique,MOZ,2014,63.57,65.5,Sub-Saharan Africa
Nepal,NPL,2014,87.3,46.07,South Asia
North Macedonia,MKD,2014,99.86,0.5,Europe & Central Asia
Norway,NOR,2014,99.93,0.0,Europe & Central Asia
Oman,OMN,2014,99.36,0.5,Middle East & North Africa
Peru,PER,2014,95.45,47.05,Latin America & Caribbean
Philippines,PHL,2014,97.45,40.13,East Asia & Pacific
Poland,POL,2014,99.47,0.05,Europe & Central Asia
Qatar,QAT,2014,99.5,0.0,Middle East & North Africa
Russian Federation,RUS,2014,99.92,3.0,Europe & Central Asia
Rwanda,RWA,2014,68.46,47.05,Sub-Saharan Africa
Samoa,WSM,2014,99.23,1.15,East Asia & Pacific
Senegal,SEN,2014,90.0,42.27,Sub-Saharan Africa
Serbia,SRB,2014,99.5,0.45,Europe & Central Asia
Seychelles,SYC,2014,99.14,59.53,Sub-Saharan Africa
Slovak Republic,SVK,2014,99.08,0.05,Europe & Central Asia
South Africa,ZAF,2014,97.3,24.94,Sub-Saharan Africa
Spain,ESP,2014,99.88,0.05,Europe & Central Asia
Sri Lanka,LKA,2014,99.72,52.19,South Asia
Sudan,SDN,2014,94.25,78.75,Sub-Saharan Africa
Suriname,SUR,2014,69.73,13.29,Latin America & Caribbean
Sweden,SWE,2014,99.93,0.15,Europe & Central Asia
Switzerland,CHE,2014,99.88,0.0,Europe & Central Asia
Timor-Leste,TLS,2014,94.32,42.0,East Asia & Pacific
Togo,TGO,2014,85.32,46.57,Sub-Saharan Africa
Tunisia,TUN,2014,88.89,9.14,Middle East & North Africa
Turkiye,TUR,2014,99.53,14.82,Europe & Central Asia
Tuvalu,TUV,2014,99.51,1.21,East Asia & Pacific
Uganda,UGA,2014,53.88,62.08,Sub-Saharan Africa
Ukraine,UKR,2014,88.52,1.1,Europe & Central Asia
Uzbekistan,UZB,2014,99.45,10.05,Europe & Central Asia
Viet Nam,VNM,2014,94.02,10.71,East Asia & Pacific
West Bank and Gaza,PSE,2014,98.65,21.44,Middle East & North Africa
Afghanistan,AFG,2016,92.32,72.13,Middle East & North Africa
Albania,ALB,2016,98.17,7.8,Europe & Central Asia
Argentina,ARG,2016,99.85,14.5,Latin America & Caribbean
Armenia,ARM,2016,98.1,8.88,Europe & Central Asia
Belize,BLZ,2016,95.23,15.73,Latin America & Caribbean
Bhutan,BTN,2016,99.58,51.44,South Asia
Bosnia and Herzegovina,BIH,2016,98.64,4.0,Europe & Central Asia
Brunei Darussalam,BRN,2016,99.74,23.54,East Asia & Pacific
Bulgaria,BGR,2016,99.33,0.2,Europe & Central Asia
Burkina Faso,BFA,2016,76.06,37.68,Sub-Saharan Africa
Burundi,BDI,2016,76.31,44.87,Sub-Saharan Africa
Cabo Verde,CPV,2016,99.44,51.4,Sub-Saharan Africa
Cambodia,KHM,2016,87.23,39.7,East Asia & Pacific
Costa Rica,CRI,2016,85.28,5.38,Latin America & Caribbean
Cote d'Ivoire,CIV,2016,91.94,54.75,Sub-Saharan Africa
Croatia,HRV,2016,98.58,0.25,Europe & Central Asia
Cuba,CUB,2016,98.61,8.44,Latin America & Caribbean
Cyprus,CYP,2016,99.74,0.3,Europe & Central Asia
Czechia,CZE,2016,99.95,0.05,Europe & Central Asia
Denmark,DNK,2016,99.94,0.0,Europe & Central Asia
Djibouti,DJI,2016,83.9,56.84,Middle East & North Africa
Dominican Republic,DOM,2016,92.58,11.25,Latin America & Caribbean
"Egypt, Arab Rep.",EGY,2016,94.39,0.9,Middle East & North Africa
El Salvador,SLV,2016,92.09,16.48,Latin America & Caribbean
Estonia,EST,2016,99.83,0.1,Europe & Central Asia
Eswatini,SWZ,2016,98.05,10.81,Sub-Saharan Africa
Finland,FIN,2016,99.9,0.0,Europe & Central Asia
Georgia,GEO,2016,99.51,8.61,Europe & Central Asia
Germany,DEU,2016,99.5,0.0,Europe & Central Asia
Ghana,GHA,2016,93.14,33.49,Sub-Saharan Africa
Guatemala,GTM,2016,89.67,37.6,Latin America & Caribbean
Hungary,HUN,2016,99.5,7.2,Europe & Central Asia
Indonesia,IDN,2016,91.5,21.89,East Asia & Pacific
"Iran, Islamic Rep.",IRN,2016,95.74,51.44,Middle East & North Africa
Italy,ITA,2016,99.95,0.02,Europe & Central Asia
Jordan,JOR,2016,99.29,23.4,Middle East & North Africa
Kazakhstan,KAZ,2016,99.15,2.19,Europe & Central Asia
"Korea, Rep.",KOR,2016,99.64,5.8,East Asia & Pacific
Kuwait,KWT,2016,97.11,0.0,Middle East & North Africa
Kyrgyz Republic,KGZ,2016,99.41,11.38,Europe & Central Asia
Lao PDR,LAO,2016,87.69,27.0,East Asia & Pacific
Latvia,LVA,2016,98.98,0.8,Europe & Central Asia
Lebanon,LBN,2016,97.59,4.5,Middle East & North Africa
Liberia,LBR,2016,79.63,65.67,Sub-Saharan Africa
Lithuania,LTU,2016,99.21,0.65,Europe & Central Asia
Maldives,MDV,2016,98.86,36.52,South Asia
Mali,MLI,2016,78.31,50.32,Sub-Saharan Africa
Malta,MLT,2016,98.89,0.04,Middle East & North Africa
Mauritania,MRT,2016,58.32,57.68,Sub-Saharan Africa
Mauritius,MUS,2016,87.54,56.84,Sub-Saharan Africa
Mexico,MEX,2016,96.57,18.44,Latin America & Caribbean
Moldova,MDA,2016,98.43,6.5,Europe & Central Asia
Mongolia,MNG,2016,99.08,25.82,East Asia & Pacific
Montenegro,MNE,2016,99.84,11.2,Europe & Central Asia
Morocco,MAR,2016,90.23,10.85,Middle East & North Africa
Nepal,NPL,2016,82.38,43.17,South Asia
Norway,NOR,2016,99.67,0.0,Europe & Central Asia
Oman,OMN,2016,98.28,0.3,Middle East & North Africa
Panama,PAN,2016,99.19,16.3,Latin America & Caribbean
Peru,PER,2016,93.79,45.86,Latin America & Caribbean
Philippines,PHL,2016,96.59,38.72,East Asia & Pacific
Poland,POL,2016,99.77,4.5,Europe & Central Asia
Qatar,QAT,2016,98.91,0.0,Middle East & North Africa
Romania,ROU,2016,99.55,2.1,Europe & Central Asia
Rwanda,RWA,2016,82.41,43.57,Sub-Saharan Africa
Samoa,WSM,2016,96.8,0.5,East Asia & Pacific
Sao Tome and Principe,STP,2016,96.98,52.64,Sub-Saharan Africa
Senegal,SEN,2016,72.98,38.71,Sub-Saharan Africa
Serbia,SRB,2016,99.55,0.45,Europe & Central Asia
Seychelles,SYC,2016,98.51,56.84,Sub-Saharan Africa
Sierra Leone,SLE,2016,87.53,56.12,Sub-Saharan Africa
Singapore,SGP,2016,99.13,0.0,East Asia & Pacific
Slovak Republic,SVK,2016,99.11,0.05,Europe & Central Asia
Solomon Islands,SLB,2016,91.23,2.0,East Asia & Pacific
Spain,ESP,2016,99.97,0.05,Europe & Central Asia
St. Lucia,LCA,2016,96.81,1.05,Latin America & Caribbean
Sudan,SDN,2016,91.99,73.66,Sub-Saharan Africa
Suriname,SUR,2016,62.49,14.13,Latin America & Caribbean
Sweden,SWE,2016,99.57,0.1,Europe & Central Asia
Switzerland,CHE,2016,99.92,0.0,Europe & Central Asia
Tajikistan,TJK,2016,99.49,0.05,Europe & Central Asia
Timor-Leste,TLS,2016,91.58,37.9,East Asia & Pacific
Togo,TGO,2016,83.25,43.33,Sub-Saharan Africa
Tunisia,TUN,2016,97.71,8.64,Middle East & North Africa
Uganda,UGA,2016,58.95,59.39,Sub-Saharan Africa
Ukraine,UKR,2016,99.6,1.1,Europe & Central Asia
United Kingdom,GBR,2016,99.98,0.1,Europe & Central Asia
United States,USA,2016,99.23,0.2,North America
Uzbekistan,UZB,2016,99.42,7.29,Europe & Central Asia
West Bank and Gaza,PSE,2016,98.81,19.54,Middle East & North Africa
Kazakhstan,KAZ,2018,99.53,0.79,Europe & Central Asia
